gsisname,height,weight,college,birthdate,yearspro,team
N.Schommer,72,204,North Dakota State,1/3/1986,2,
K.Williams,70,186,Arizona State,7/19/1988,5,DEN
J.Webb,79,330,West Texas A&M,8/8/1988,5,OAK
J.Moore,71,184,Kansas State,8/20/1988,3,
D.LeFevour,75,230,Central Michigan,3/19/1987,2,
T.Holliday,65,165,LSU,4/27/1986,6,
T.Larsen,74,305,North Carolina State,6/13/1987,6,ARI
G.Harrell,74,215,Texas Tech,5/22/1985,2,
C.Wootton,78,270,Northwestern,6/22/1987,6,DET
W.James,72,200,Western Illinois,6/15/1979,10,
K.Jenkins,76,360,Maryland,8/3/1979,10,
S.Perry,72,187,Louisville,9/19/1991,2,CHI
C.McCain,77,245,California,11/21/1991,2,MIA
,75,225,North Dakota State,9/19/1990,0,
R.Wilson,74,230,South Carolina,11/12/1981,6,
C.Santos,68,160,Tulane,11/12/1991,2,KC
J.Ratliff,76,303,Auburn,8/29/1981,11,
M.Maxwell,75,210,Oregon,7/8/1983,5,
N.Broughton,71,255,The Citadel,11/4/1982,6,
I.Redman,72,230,Bowie State,11/10/1984,4,
T.Williams,73,240,USC,12/25/1984,5,
,72,200,New Mexico,5/13/1992,0,OAK
J.Green,75,285,LSU,1/12/1979,9,
B.Giacomini,79,318,Louisville,9/27/1985,8,NYJ
F.Okam,77,350,Texas,10/16/1985,6,
M.Slater,72,205,UCLA,9/9/1985,8,NE
R.Barber,70,184,Virginia,4/7/1975,16,
I.Ekejiuba,76,240,Virginia,10/5/1981,7,
F.Walker,71,200,Tuskegee,8/6/1981,9,
D.Walker,72,248,Central Missouri State,8/12/1984,10,TEN
R.Lohr,76,290,Vanderbilt,3/1/1990,0,
F.Hammond,73,184,Florida,2/17/1990,2,KC
C.Johnson,73,200,Louisville,9/25/1979,10,
O.Gaither,74,235,Tennessee,3/18/1984,8,
,77,298,Oregon State,12/29/1989,2,
M.Tucker,73,227,Texas Christian,5/24/1991,2,
T.Bray,78,215,Tennessee,12/27/1991,3,
D.Drakeford,73,240,Maryland,7/5/1991,1,
O.Foster,72,204,West Alabama,9/2/1988,0,
K.Ratliff,71,188,Florida,4/19/1981,7,
D.Henderson,71,200,LSU,3/26/1982,10,
K.Winslow,76,240,Miami (Fla.),7/21/1983,9,
D.Hall,70,198,Virginia Tech,11/19/1983,12,WAS
L.Fitzgerald,75,218,Pittsburgh,8/31/1983,12,ARI
K.Dansby,75,251,Auburn,11/3/1981,12,CLE
B.Roethlisberger,77,240,Miami (Ohio),3/2/1982,12,PIT
L.Ajiboye,73,297,South Carolina,9/15/1987,1,
P.Allen,76,273,Nebraska,11/18/1987,2,
T.Gipson,71,205,Wyoming,8/7/1990,4,CLE
J.Gold,74,204,Texas,3/22/1988,1,
D.Baldwin,70,189,Stanford,9/21/1988,5,SEA
D.Boyce,73,237,Washington,6/25/1988,2,
K.Charles,75,266,Stephen F. Austin St.,2/23/1989,1,
J.Hoffman,72,196,Eastern Washington,1/18/1988,1,
,76,317,Texas,9/28/1988,1,
J.Posey,72,195,Ohio U.,7/17/1988,2,
T.Bellamy,71,202,Illinois,1/11/1988,2,
B.Browning,76,325,Ohio State,6/26/1988,2,
L.Holmes,78,333,Southern Mississippi,7/8/1989,4,
B.Hardin,75,217,Oregon State,10/30/1989,2,
B.Taylor,71,205,LSU,1/29/1990,3,
J.Allen,76,306,Illinois,1/8/1990,4,KC
C.White,75,303,Illinois State,7/1/1988,4,
T.Robertson,76,300,Baylor,9/26/1989,1,
E.Pleasant,70,210,Oregon,12/17/1988,3,HOU
C.Sensabaugh,71,187,Clemson,11/15/1988,4,TEN
B.Massie,78,316,Mississippi,8/1/1989,4,ARI
C.Spann,69,198,Northern Illinois,8/4/1988,1,
K.Neal,74,245,Notre Dame,8/30/1988,1,
O.Ogbu,73,305,Penn State,5/18/1987,2,
L.Moore,73,185,Delaware State,10/4/1987,1,
A.Moten,74,230,Maryland,4/22/1988,2,
J.Lefeged,72,204,Rutgers,6/2/1988,3,
M.McNeill,76,240,Nebraska,3/7/1988,4,
J.Johnson,70,212,Boise State,6/12/1988,5,WAS
N.Williams,75,245,Fort Valley State,5/17/1986,1,
S.Renfree,77,225,Duke,4/28/1990,3,ATL
T.Wilson,74,215,Arkansas,8/16/1989,1,
G.Smith,75,221,West Virginia,10/10/1990,3,NYJ
D.Hopkins,73,218,Clemson,6/6/1992,3,HOU
,78,310,North Carolina,2/5/1991,2,
D.Swearinger,70,208,South Carolina,9/1/1991,3,ARI
L.Johnson,78,317,Oklahoma,5/8/1990,3,PHI
J.Green,71,195,Illinois,2/26/1991,1,
B.Werner,75,255,Florida State,8/30/1990,3,IND
D.Trufant,72,190,Washington,9/10/1990,3,ATL
C.Johnson,77,237,Georgia Tech,9/29/1985,9,DET
J.Russell,78,260,LSU,8/9/1985,3,
C.Quarles,75,212,Wake Forest,4/6/1989,1,
N.Provo,76,249,Syracuse,10/4/1988,1,
B.Rainey,68,212,Western Kentucky,10/16/1987,4,TB
P.Bates,73,220,Ohio U.,9/20/1989,1,
D.Thompson,72,203,Florida,2/14/1989,4,CHI
S.O'Hara,75,303,Rutgers,6/23/1977,11,
M.Gandy,76,316,Notre Dame,1/3/1979,9,
,70,180,Louisville,12/23/1992,0,PIT
,77,304,Washington,5/15/1992,0,PIT
,71,182,Oregon,8/29/1991,0,STL
D.Roach,74,216,Texas Christian,8/9/1985,3,
E.Moore,78,250,Stanford,1/3/1985,5,
L.Hamilton,72,235,San Diego State,8/5/1985,4,
K.Weston,77,315,Georgia,11/29/1986,3,
B.Deaderick,76,305,Alabama,8/19/1987,6,
R.Lindell,75,227,Washington State,1/20/1977,14,
D.Worthington,77,318,Ohio State,8/10/1987,3,STL
D.Howard,75,304,Brown,8/31/1987,2,
K.Conner,72,245,Clemson,2/23/1987,6,SD
S.Canfield,76,223,Oregon State,11/12/1986,3,
R.Fisher,69,185,Indiana,9/12/1987,1,
J.Konz,75,234,Kent State,7/2/1986,3,
K.Coleman,71,200,Ohio State,7/1/1988,6,CAR
J.Nading,77,257,Colorado State,7/3/1985,5,
A.Faneca,77,316,LSU,12/7/1976,13,
L.Ramsey,75,300,USC,3/19/1984,4,
,76,245,Illinois State,1/14/1992,0,KC
K.Golston,76,318,Georgia,5/30/1983,10,WAS
C.Johnson,76,305,Oklahoma State,5/2/1984,9,
T.Reed,77,305,Penn State,10/6/1982,3,
S.Koch,73,219,Nebraska,8/13/1982,10,BAL
E.Harper,75,240,Grambling State,10/29/1987,1,
C.Casey,71,190,Baylor,3/11/1991,1,
D.Rhodes,69,203,Midwestern State,1/17/1979,10,
G.Castillo,71,187,Iowa,5/3/1990,0,
,74,280,Hinds CC MS,//,0,
A.Kanneh,70,185,New Mexico Highlands,9/9/1990,0,
C.TerBush,77,225,Purdue,1/5/1990,0,
B.Chillar,75,237,UCLA,10/21/1982,7,
N.Koutouvides,74,245,Purdue,3/25/1981,10,
R.Colclough,71,194,Tusculum,9/26/1983,6,
V.Wilfork,74,325,Miami (Fla.),11/4/1981,12,HOU
K.Wilson,74,245,Pittsburgh,8/22/1981,8,
P.Kerney,77,272,Virginia,12/30/1976,11,
,76,311,Michigan,7/6/1991,1,
D.Hopkins,74,193,Florida State,10/1/1990,2,WAS
C.Fuller,74,200,Virginia Tech,6/23/1990,2,DET
E.Kush,76,313,California (PA),9/9/1989,3,STL
,77,306,San Jose State,8/24/1990,3,
V.Painter,76,310,Virginia Tech,10/11/1989,2,
T.King,73,200,Georgia,7/14/1990,2,
M.Hyde,72,197,Iowa,12/31/1990,3,GB
J.Boyd,75,310,Mississippi State,8/3/1989,3,GB
S.Martin,73,211,Appalachian State,2/27/1990,3,DET
M.Vick,72,210,Virginia Tech,6/26/1980,15,PIT
J.Saturday,74,295,North Carolina,6/18/1975,14,
D.Mason,70,197,Michigan State,1/17/1974,15,
A.Seferian-Jenkins,77,262,Washington,9/29/1992,2,TB
K.Fogg,70,185,Liberty,10/6/1990,1,
S.Tuitt,78,303,Notre Dame,5/23/1993,2,PIT
B.Sankey,70,209,Washington,9/15/1992,2,TEN
,76,307,UCLA,1/1/1991,2,HOU
,75,265,Boise State,4/28/1992,2,DAL
,78,315,Tennessee,6/3/1992,2,MIA
D.McDougle,70,195,Maryland,4/8/1991,2,NYJ
J.Hall,69,191,Ohio State,7/2/1991,0,
,70,185,Miami (Fla.),1/5/1993,0,IND
,73,225,Alabama,10/2/1993,0,JAC
,79,316,Stanford,11/4/1993,0,NO
,72,216,Stanford,1/22/1993,0,GB
,72,230,Kansas,5/13/1992,0,OAK
,77,315,Florida,4/8/1992,0,DAL
,75,235,Florida,8/20/1992,0,OAK
S.Morris,72,220,Texas Tech,3/23/1977,12,
K.Pearson,70,200,Grambling State,10/22/1978,6,
,73,215,Central Florida,6/1/1992,0,IND
,70,192,East Carolina,12/18/1991,0,ATL
,76,320,Florida State,12/14/1992,0,NE
,77,309,Pittsburgh,11/18/1991,0,MIN
,76,310,Arizona State,2/28/1992,0,MIA
,75,305,Auburn,4/3/1992,0,DET
,72,220,USC,8/27/1991,0,BAL
,76,275,Kentucky,9/8/1992,0,BAL
,74,240,Michigan,2/27/1992,0,GB
C.Brown,73,204,Cal Poly-S.L.O.,2/10/1984,4,
J.Palmer,77,230,Texas-El Paso,5/30/1984,6,
J.Ford,76,252,Central Arkansas,7/20/1983,5,
C.Hilliard,78,300,Oklahoma State,4/26/1985,7,
J.Kent,76,219,Oregon,7/24/1984,4,
P.Burgess,75,253,Michigan,3/6/1984,5,
M.Lucky,71,218,Nebraska,2/28/1986,1,
G.Williams,75,315,Kentucky,8/20/1986,6,
N.Sundberg,72,264,California,7/29/1987,6,WAS
Q.Cosby,69,195,Texas,12/23/1982,4,
J.Lee,73,225,Bishop,3/13/1987,1,
A.Scirrotto,72,202,Penn State,10/21/1986,1,
B.Miller,73,253,Illinois,9/15/1986,4,
L.James,69,200,Oregon,10/22/1989,4,
C.Hayward,71,192,Vanderbilt,9/9/1989,4,GB
R.Randle,74,208,LSU,5/7/1991,4,NYG
R.Wilson,71,206,Wisconsin,11/29/1988,4,SEA
B.Pierce,72,222,Temple,5/10/1991,4,JAC
D.Bentley,70,188,Louisiana-Lafayette,5/16/1989,4,
J.Hughes,74,320,Cincinnati,4/27/1988,4,CLE
J.Hosley,70,178,Virginia Tech,9/18/1990,4,NYG
G.Gradkowski,75,300,Delaware,11/5/1988,4,ATL
T.Benjamin,70,175,Miami (Fla.),12/29/1989,4,CLE
B.Malena,68,200,Texas A&M,5/29/1992,1,
C.Mandell,76,215,Alabama,4/7/1992,0,
K.Dawson,75,258,Texas Tech,9/13/1985,7,
A.Ball,74,195,Illinois,3/29/1985,8,CHI
C.Ah You,76,265,Oklahoma,7/7/1982,4,
B.Siler,74,239,Florida,12/5/1985,6,
C.Williams,71,176,Florida International,8/9/1985,4,
S.Steptoe,69,200,Arizona,12/6/1984,3,
C.Stuckey,72,196,Clemson,10/4/1983,5,
J.Rader,76,263,Marshall,4/12/1981,3,
J.Foschi,75,265,Georgia Tech,5/19/1982,5,
J.Saunders,69,165,Oklahoma,9/30/1992,2,CHI
J.Hartwig,77,312,Kansas,11/21/1978,9,
J.O'Sullivan,74,232,California-Davis,8/25/1979,9,
V.Agnew,70,196,Central Michigan,12/28/1987,1,
N.Williams,70,184,Connecticut,11/23/1990,1,ATL
,73,302,Utah,7/4/1987,1,
T.McCarthy,78,252,Yale,9/6/1988,1,
J.Staples,76,245,Illinois,12/10/1989,2,TEN
M.Wallace,78,330,Temple,4/22/1990,2,
C.Hauptmann,75,305,Florida International,7/10/1991,2,
D.Kruger,77,285,Utah,5/17/1990,0,
C.Roberson,76,205,Stephen F. Austin St.,12/3/1990,1,
F.Zombo,75,254,Central Michigan,3/5/1987,6,KC
H.Lawrence,72,187,Texas,6/28/1988,1,
S.Shields,71,184,Miami (Fla.),12/8/1987,6,GB
C.West,73,217,Fresno State,5/1/1987,3,
B.Harris,70,189,Miami (Fla.),1/24/1990,5,TEN
J.Mouton,74,240,Michigan,3/17/1988,4,
D.Hardman,78,300,Eastern Kentucky,9/13/1986,3,
J.Mastrud,78,255,Kansas State,12/17/1987,5,
S.Vereen,70,205,California,3/2/1989,5,NYG
M.Leshoure,72,233,Illinois,3/30/1990,4,
T.Smith,72,205,Maryland,1/26/1989,5,SF
G.Little,74,220,North Carolina,5/30/1989,5,
Austin,74,312,North Carolina,1/10/1989,5,
S.Paea,73,300,Oregon State,5/11/1988,5,WAS
J.Jarrett,72,196,Temple,9/21/1989,4,NYJ
R.Hudson,74,300,Florida State,7/12/1989,5,OAK
M.Cassel,76,228,USC,5/17/1982,11,DAL
H.Abdullah,74,216,Washington State,8/20/1983,7,
K.McIlwain,70,175,Newberry,3/9/1988,1,
C.Hanie,74,235,Colorado State,9/11/1985,6,
E.Butler,74,248,Nevada,11/20/1984,2,
C.Reis,73,215,Georgia Tech,9/19/1983,5,
B.Hoover,72,245,Western Carolina,11/11/1976,10,
D.Fells,76,260,California-Davis,9/23/1983,8,NYG
M.Williams,78,292,North Carolina State,1/31/1985,10,BUF
J.Fanene,76,285,Utah,3/19/1982,7,
M.Hardesty,72,225,Tennessee,2/1/1987,4,
R.Bush,71,205,South Carolina State,5/12/1987,5,NO
M.Neal,75,262,Purdue,6/26/1987,6,GB
T.Cody,76,345,Alabama,6/28/1988,5,
C.Dunlap,78,280,Florida,2/28/1989,6,CIN
S.Lee,74,238,Penn State,7/22/1986,6,DAL
J.Arenas,69,197,Alabama,10/28/1987,5,
J.Cunningham,75,255,Florida,4/24/1988,6,
B.Harvey,76,205,Villanova,11/6/1987,3,
W.Johnson,75,233,Wyoming,1/15/1987,1,
B.Spikes,74,255,Florida,9/3/1987,6,
C.Brown,77,300,USC,4/10/1987,6,DAL
T.Biere,76,260,Kansas,9/10/1989,0,
J.Berger,77,305,Michigan Tech,5/25/1982,11,MIN
D.Rayner,74,215,Michigan State,10/26/1982,7,
J.Dreessen,76,245,Colorado State,7/26/1982,9,
C.Myers,76,286,Miami (Fla.),9/15/1981,10,
M.Price,73,197,Charleston Southern,9/11/1985,4,
B.Kinnie,75,220,Nebraska,12/27/1988,1,
C.Thompson,74,250,West Texas A&M;,5/22/1980,7,
T.Brackenridge,71,189,Washington State,6/30/1984,4,
K.Boller,75,220,California,6/17/1981,9,
T.Suggs,75,265,Arizona State,10/11/1982,13,BAL
J.Zgonina,74,285,Purdue,5/24/1970,17,
T.Gilbert,72,245,Georgia,10/16/1979,8,
R.Manning,69,193,UCLA,11/18/1980,7,
S.Kooistra,78,335,North Carolina State,10/14/1980,9,
L.Moore,73,305,South Carolina,7/17/1981,7,
I.Martin,74,220,Furman,8/15/1982,3,
Z.Minter,73,297,Montana State,11/6/1990,2,
M.Ford,70,216,LSU,5/27/1990,2,
J.Lenz,72,195,Iowa State,9/22/1990,1,
S.Charles,77,323,Regina (Canada),6/9/1988,3,BUF
A.Montgomery,78,330,Minnesota,3/8/1984,4,
J.Pociask,75,256,Wisconsin,2/9/1983,6,
T.Dobbins,73,234,Iowa State,12/10/1982,9,
J.King,75,260,Virginia Tech,2/19/1983,8,
B.Russell,74,300,Georgia Southern,8/16/1989,0,
R.Williams,75,215,Texas,12/20/1981,8,
N.Leckey,75,291,Kansas State,3/12/1982,7,
R.Hadnot,74,310,Houston,1/28/1982,9,
C.Williams,76,320,Arkansas State,8/17/1980,9,
N.Lawrie,78,255,Yale,10/7/1981,7,
W.Allen,73,202,Ohio State,6/17/1982,12,PIT
E.Wilford,76,235,Virginia Tech,1/14/1979,7,
S.Lutrus,75,238,Connecticut,4/23/1988,3,
K.Miller,77,262,Mount Union,4/18/1988,2,
R.Murphy,73,215,LSU,9/18/1986,2,
J.Newsome,73,206,Central Florida,11/5/1987,1,
T.Heath,72,190,Jacksonville State,9/11/1987,2,
D.Inman,75,205,Virginia,1/31/1989,2,SD
J.Johnson,70,184,Jackson State,7/13/1988,1,
B.Fowler,73,212,Michigan State,6/10/1991,1,DEN
O.Ray,76,275,Tulsa,5/24/1989,2,
D.Jacobs,75,284,Florida,7/22/1991,0,
B.Clay,71,201,Oklahoma,12/20/1991,0,
,73,205,Georgia Tech,10/9/1991,1,
J.Legree,72,187,South Carolina,1/13/1991,1,
J.Sullen,72,200,Tulane,6/25/1990,1,
L.Little,75,267,Tennessee,10/19/1974,12,
D.Robinson,72,215,Michigan,9/22/1990,3,JAC
T.Frederick,76,315,Wisconsin,3/18/1991,3,DAL
L.Joeckel,78,315,Texas A&M,11/6/1991,3,JAC
G.Escobar,78,260,San Diego State,2/3/1991,3,DAL
J.Wilcox,72,212,Georgia Southern,2/14/1991,3,DAL
T.Williams,74,208,Baylor,9/18/1989,3,DAL
B.Wreh-Wilson,73,198,Connecticut,12/5/1989,3,TEN
A.Dobson,75,205,Marshall,7/23/1991,3,NE
T.Eifert,78,250,Notre Dame,9/8/1990,3,CIN
E.Reid,73,213,LSU,12/10/1991,3,SF
B.McNally,75,260,New Hampshire,9/5/1989,1,
L.Lewis,71,190,Arizona State,2/17/1989,2,
V.Aiyewa,73,219,Washington,2/4/1989,1,
W.Allen,70,195,Syracuse,8/5/1978,12,
S.Hutchinson,77,313,Michigan,11/1/1977,12,
M.Williams,77,302,Michigan,1/26/1979,9,
J.Fletcher,70,180,Wisconsin,8/28/1979,9,
K.McKenzie,78,330,Penn State,5/24/1979,11,
L.Jordan,70,242,Maryland,11/11/1978,9,
C.Zych,71,203,Harvard,2/1/1989,1,
T.Grant,69,176,Delaware,1/31/1989,1,
D.Ballard,78,220,Western Oregon,1/17/1984,1,
A.Schobel,76,243,Texas Christian,9/1/1977,9,
M.O'Donnell,81,340,Queens (Canada),3/26/1989,1,
J.Root,75,276,Boise State,5/14/1988,1,
D.Moye,77,210,Penn State,8/12/1988,2,
C.Collins,74,246,Oregon State,9/29/1989,1,
J.Fuller,76,223,Texas A&M;,4/20/1990,1,
,75,325,Temple,7/16/1988,0,
J.Gray,70,225,Notre Dame,6/27/1990,2,JAC
K.McCray,74,202,Arkansas State,9/21/1988,4,SEA
S.Lyons,73,238,Arizona State,1/19/1990,1,
R.Okung,77,310,Oklahoma State,10/7/1987,6,SEA
E.Berry,72,212,Tennessee,12/29/1988,6,KC
N.Suh,76,320,Nebraska,1/6/1987,6,MIA
S.Bradford,76,224,Oklahoma,11/8/1987,6,PHI
T.Williams,77,337,Oklahoma,7/19/1988,6,WAS
G.McCoy,76,300,Oklahoma,2/25/1988,6,TB
H.Unga,72,237,Brigham Young,1/18/1987,2,
T.Williams,73,210,Texas-San Antonio,7/3/1988,4,CAR
J.Price-Brent,74,320,Illinois,1/30/1988,5,
C.Grimm,71,200,Virginia Tech,2/26/1987,4,
E.Alexander,74,240,LSU,2/8/1982,7,
G.Wilson,72,210,Arkansas,3/14/1981,10,
R.Gay,71,190,LSU,5/5/1982,7,
N.Hughes,74,195,Alcorn State,1/18/1985,5,
D.Savage,68,182,Oklahoma State,2/15/1985,3,
T.Devree,78,245,Colorado,11/12/1984,3,
W.Gilberry,74,270,Alabama,12/5/1984,8,CIN
J.Baston,73,305,Missouri,4/10/1987,1,
T.Baker,70,225,North Carolina State,6/16/1986,1,
J.Cole,75,240,San Jose State,11/22/1987,4,
M.Johnson,72,254,North Alabama,9/8/1986,1,
R.Gunnell,71,197,Boston College,1/12/1987,1,
A.Arnett,74,188,West Virginia,6/26/1987,1,
K.Alexander,76,265,Clemson,7/1/1987,1,
K.Demens,73,242,Michigan,2/4/1990,2,ARI
R.Yell,70,188,San Jose State,4/15/1991,0,
,73,183,Louisiana-Lafayette,2/17/1990,2,
J.Harris,71,206,Oklahoma,2/7/1991,0,
K.Jones,74,233,Wyoming,4/4/1989,0,
J.Brown,74,205,Clemson,1/8/1990,3,ARI
,74,203,Marist,6/9/1990,1,
D.Darling,73,213,Washington State,4/16/1982,6,
C.Cooley,75,243,Utah State,7/11/1982,9,
B.Berry,75,254,Notre Dame,8/15/1975,12,
D.McClover,73,226,Miami (Fla.),8/25/1981,6,
N.Kaeding,72,187,Iowa,3/26/1982,9,
S.Jackson,74,240,Oregon State,7/22/1983,12,NE
D.Robinson,70,183,South Carolina,4/11/1982,10,
R.Garza,74,310,Texas A&M - Kingsville,3/26/1979,14,
N.Harris,74,218,California,7/23/1978,12,
T.Stewart,77,260,Penn State,8/9/1979,10,
,71,208,Northwestern,5/13/1992,0,CLE
,73,305,Colorado,3/4/1992,0,
,75,250,Louisville,8/26/1991,0,ARI
,78,306,Oregon,8/16/1993,0,CIN
,77,255,Nebraska,11/23/1992,0,DAL
,71,193,Florida State,1/2/1994,0,BUF
,72,202,Oklahoma State,11/7/1991,2,CLE
,71,190,Rutgers,5/28/1991,0,
,76,350,Lynchburg College,5/1/1993,0,
,73,292,Stanford,11/14/1990,0,
,72,216,Valdosta State,//,1,
M.Ewald,70,176,Indiana,9/2/1990,0,
,72,200,USC,11/25/1991,2,JAC
B.Turner,77,302,North Dakota State,10/17/1991,1,MIA
,74,245,Navy,4/16/1992,0,NE
,77,255,Ohio State,11/24/1992,0,DEN
,75,245,Missouri,5/18/1993,0,DEN
,77,307,Florida,12/28/1993,0,ARI
,71,210,Stanford,1/21/1993,0,NE
,76,250,Minnesota,4/12/1994,0,BAL
,76,246,Mississippi State,11/19/1992,0,HOU
,73,203,Louisiana State University - Shreveport,3/20/1993,0,ATL
,75,332,Florida State,1/6/1994,0,CHI
,72,230,Washington,4/21/1994,0,CAR
,78,330,Oklahoma,9/21/1992,0,MIA
,75,255,Utah,1/5/1993,0,CLE
,73,205,Utah,10/3/1992,0,PHI
,72,232,UCLA,2/29/1992,0,MIN
D.Lewis,68,195,Pittsburgh,9/27/1990,4,NE
D.Moore,72,190,Tennessee,12/9/1988,5,
R.Issac,70,202,Middle Tennessee State,2/20/1989,2,
D.Gomes,72,201,Nebraska,11/17/1989,4,
J.Rodgers,66,199,Oregon State,2/6/1990,5,CHI
S.Keo,71,208,Idaho,12/17/1987,4,DEN
J.Thomas,71,185,Buffalo,5/3/1989,5,DAL
K.Klug,75,278,Iowa,3/31/1988,5,TEN
A.Black,69,184,Florida,12/12/1989,2,
J.Pinkston,76,310,Pittsburgh,9/5/1987,4,
L.Orr,77,320,Florida,2/11/1992,0,OAK
A.Miller,76,260,California,1/22/1990,1,
,77,255,Purdue,3/29/1991,0,OAK
,71,195,Eastern Washington,7/17/1992,0,OAK
K.Anderson,73,234,Furman,6/6/1989,0,
Sc.Smith,79,261,Texas Tech,6/6/1988,0,
,73,230,Northwestern,11/18/1991,0,OAK
A.Auguste,70,185,South Carolina,10/10/1989,2,
R.Foley,74,252,York (Canada),4/2/1981,1,
W.Colon,75,315,Hofstra,4/9/1983,10,NYJ
W.Smith,76,295,Memphis,4/26/1981,12,
D.Dockery,78,325,Texas,9/7/1980,10,
B.McMullen,76,215,Virginia,3/8/1980,6,
B.James,74,240,LSU,1/17/1981,11,
J.Johnson,75,260,Alabama,8/14/1981,12,
A.Hoppel,73,307,Cincinnati,5/20/1985,0,
X.Boyd,74,239,Western Kentucky,2/7/1991,0,
B.Braxton,78,315,Oklahoma,12/10/1985,2,
C.Bullock,75,255,Maryland,2/13/1986,1,
,71,202,Eastern Illinois,3/14/1991,0,
M.Hall,81,324,Belhaven College,4/24/1990,2,
,77,305,Toledo,8/13/1991,1,MIN
I.Faciane,76,302,Florida International,5/11/1991,1,
,73,199,Ohio U.,11/10/1990,1,
,72,195,Northwestern,5/24/1992,1,
,76,260,Villanova,2/12/1991,1,
J.Jones,80,275,East Carolina,9/25/1991,0,
D.Skinner,74,250,Mississippi State,12/18/1990,2,
T.Duckworth,76,318,Auburn,9/14/1982,3,
R.Robinson,70,190,Alabama,2/20/1984,6,
C.Ndukwe,74,224,Notre Dame,3/4/1985,5,
J.Holland,73,195,Louisiana Tech,6/18/1985,4,
C.Parks,71,182,Northeastern,11/12/1986,3,
J.Johnson,73,258,Nevada,1/19/1985,2,
K.Asiodu,75,247,Central Oklahoma,11/24/1986,4,
R.Allen,75,325,Missouri Western State,2/10/1986,4,
R.Feinga,76,320,Brigham Young,5/8/1986,4,
D.Douglas,73,240,Mississippi State,1/13/1987,2,
I.Campbell,76,263,Kansas State,5/15/1985,1,
J.Byers,70,191,Northeastern State (Okla.),8/30/1985,1,
C.Prime,73,261,Wagner,10/29/1989,0,
T.Duckett,72,254,Michigan State,2/17/1981,8,
S.Price,74,198,UCLA,3/26/1991,1,BAL
B.McManus,75,201,Temple,7/25/1991,2,DEN
B.Taylor,73,245,Virginia Tech,12/31/1989,1,
E.Cleary,79,324,Boston College,4/27/1990,1,NYG
L.Sampson,71,205,Baylor,7/17/1990,1,
D.Swanson,71,191,Sam Houston State,3/21/1991,1,
D.Caldwell,71,212,William & Mary,5/19/1987,2,
J.Hemby,71,190,North Carolina,7/21/1987,1,
T.Hiller,76,229,Western Michigan,12/13/1986,1,
J.James,72,208,Miami (Fla.),9/18/1987,3,
A.English,75,250,Oklahoma,3/10/1987,2,
B.Gilbeaux,75,270,Delaware,6/9/1987,2,
T.Anderson,72,241,Michigan State,1/13/1987,1,
B.King,70,185,Purdue,1/28/1987,2,
J.Linkenbach,78,317,Cincinnati,6/9/1987,6,SD
D.Bryant,78,310,Harvard,12/15/1985,7,CLE
D.Sherrod,74,250,Mississippi State,5/11/1985,1,
B.Hall,71,205,Mississippi,3/18/1985,3,
J.Johnson,71,197,Kansas State,9/6/1984,3,
S.Castille,72,190,Alabama,10/12/1985,3,
N.Tahi,72,254,Brigham Young,10/30/1981,5,
R.Saffold,77,332,Indiana,6/6/1988,6,STL
C.Cook,74,212,Virginia,2/15/1987,6,
T.Yoder,76,251,Vanderbilt,3/18/1978,10,
M.Nixon,75,232,Arizona State,8/17/1983,1,
R.McClain,76,255,Alabama,7/14/1989,5,DAL
D.McCourty,70,195,Rutgers,8/13/1987,6,NE
P.Ramsey,74,225,Tulane,2/14/1979,9,
M.Louis,72,195,Grambling State,9/11/1988,1,
C.Harris,72,211,Louisiana-Monroe,8/6/1982,8,
M.Montgomery,77,282,Texas A&M;,8/18/1983,6,
B.Scaife,75,249,Texas,1/6/1981,7,
A.Bryant,75,360,Alabama,11/6/1981,5,
E.Moore,76,268,Florida State,2/28/1981,7,
S.Pouha,75,325,Utah,2/3/1979,8,
S.Starks,69,178,Wisconsin,6/27/1983,6,
N.Miller,69,180,Southern Utah,3/29/1987,4,
M.Brown,74,200,McNeese State,4/2/1986,2,
D.Street,75,200,Pittsburgh,3/30/1991,2,DAL
H.Eugene,74,200,Louisiana Tech,11/24/1980,6,
F.Jackson,73,215,Coe,2/20/1981,9,SEA
J.Farrior,74,243,Virginia,1/6/1975,15,
J.Babin,75,267,Western Michigan,5/24/1980,12,
T.Johnson,75,315,Washington,12/7/1981,8,
K.Fox,75,235,Georgia Tech,1/24/1982,9,
B.Sippio,75,215,Western Kentucky,12/4/1980,4,
C.Terrill,74,296,Purdue,6/27/1980,7,
M.Sellers,75,272,Walla Walla CC WA,7/21/1975,12,
J.Shaw,71,185,Jacksonville State,2/27/1989,1,
T.Powell,74,249,Harding,4/27/1988,3,BUF
S.Barrington,73,240,South Florida,10/5/1990,3,GB
J.Vega,76,255,Northeastern,5/30/1987,1,
D.Tyree,72,206,Syracuse,1/3/1980,7,
M.Williams,78,304,Alabama,9/8/1990,2,NE
J.Kruger,78,287,Utah,6/4/1992,2,
T.Bohanon,73,247,Wake Forest,9/10/1990,3,NYJ
C.Johnson,74,217,Grand Valley State,2/27/1989,3,MIN
J.Poyer,72,191,Oregon State,4/25/1991,3,CLE
,76,305,Vanderbilt,2/7/1990,2,NO
K.Dorsey,73,207,Maryland,2/23/1990,3,
K.Williams,68,198,Utah State,6/9/1991,2,ARI
G.Whimper,77,315,East Carolina,5/21/1983,9,
